Vp,Bulk,MS,Porosity,Resistivity,Species
3886.84,2.46,848.2,12,0.74,CorAlg
4040.18,2.43,945.5,14,0.66,CorAlg
4066.61,2.42,893.9,14,0.66,CorAlg
4070.65,2.46,775.6,12,0.7,CorAlg
4110.24,2.44,169.3,13,0.4,CorAlg
3622.77,2.28,73,23,0.9,CorAlg
3901.17,2.35,165.3,18,0.51,CorAlg
3794.47,2.17,169.7,30,0.59,CorAlg
3817.63,2.45,107.9,12,0.57,CorAlg
3767.23,2.27,123.6,24,0.59,CorAlg
3883.68,2.51,262.1,9,0.76,CorAlg
4087.56,2.48,257.8,10,0.8,CorAlg
4155.29,2.5,245.4,9,0.86,CorAlg
4181.27,2.49,235.3,10,0.89,CorAlg
4166.55,2.54,222.9,7,0.92,CorAlg
3979.47,2.45,208,12,0.91,CorAlg
3809.09,2.45,193.1,12,0.88,CorAlg
3954.75,2.53,182.8,8,0.83,CorAlg
4056.9,2.54,173.3,7,0.79,CorAlg
4165.88,2.59,165.2,4,0.79,CorAlg
4194.05,2.5,163,10,0.84,CorAlg
4084.92,2.49,167.2,10,0.97,CorAlg
3880.55,2.38,179.1,17,0.99,CorAlg
3873.44,2.4,198.3,15,1,CorAlg
4027.85,2.52,222.1,8,0.97,CorAlg
4081.37,2.49,244.7,10,0.88,CorAlg
4030.44,2.48,256.1,10,0.8,CorAlg
3601.49,2.36,455.2,18,0.72,CorAlg
3653.71,2.42,401.3,14,0.76,CorAlg
3762.25,2.42,352.5,14,0.78,CorAlg
4109.4,2.51,148,9,0.69,CorAlg
3705.92,2.29,467.1,22,0.62,CorAlg
3631.04,2.39,453.2,16,0.63,CorAlg
3734.93,2.34,411,19,0.65,CorAlg
3659.98,2.27,370.7,23,0.68,CorAlg
3610.46,2.38,781.4,17,0.63,CorAlg
3857.57,2.43,747.2,14,0.61,CorAlg
3897.51,2.4,664.2,16,0.56,CorAlg
3749.71,2.34,583.9,19,0.54,CorAlg
3717.76,2.42,528.7,14,0.53,CorAlg
3653.21,2.34,497,19,0.52,CorAlg
3672.96,2.41,478,15,0.54,CorAlg
3747.37,2.26,468.2,24,0.56,CorAlg
3571.43,2.33,468.4,20,0.56,CorAlg
3573.1,2.29,468.5,22,0.56,CorAlg
3433.3,2.14,458.6,31,0.59,CorAlg
3669.33,2.32,594.2,20,0.6,CorAlg
3567.07,2.34,686.6,19,0.58,CorAlg
3557.21,2.36,755.3,18,0.59,CorAlg
3557.21,2.33,792,20,0.6,CorAlg
3627.96,2.31,795,21,0.6,CorAlg
3310.7,2.23,606.2,26,0.48,CorAlg
3336.44,2.25,570.2,25,0.44,CorAlg
3920.81,2.47,1885.1,11,0.56,CorAlg
4148.15,2.53,1861,8,0.55,CorAlg
4230.62,2.52,1826.9,8,0.54,CorAlg
4345.81,2.58,1774.4,4,0.55,CorAlg
4374.23,2.56,1711.1,6,0.57,CorAlg
3383.93,2.35,938.8,19,0.63,CorAlg
3393.89,2.32,964.5,20,0.71,CorAlg
3412.39,2.31,1022.6,21,0.71,CorAlg
3467.46,2.32,1100.2,20,0.64,CorAlg
3543.16,2.37,1179.1,17,0.6,CorAlg
3633.03,2.39,1237.6,16,0.6,CorAlg
3838,2.46,1264,12,0.65,CorAlg
3929.84,2.32,1275.7,20,0.69,CorAlg
3979,2.51,1299.1,9,0.69,CorAlg
4066.92,2.48,1341,10,0.67,CorAlg
4105.8,2.48,1378.9,10,0.67,CorAlg
4041.41,2.46,1398.2,11,0.67,CorAlg
3966.75,2.45,1411.5,12,0.65,CorAlg
4003.73,2.47,1421.5,11,0.67,CorAlg
4016.21,2.44,1444.7,13,0.69,CorAlg
3979,2.47,1454.7,11,0.68,CorAlg
3918.49,2.45,1408.8,12,0.67,CorAlg
4196.19,2.52,383.7,8,0.85,CorAlg
4348.54,2.61,429.2,3,0.84,CorAlg
4423.13,2.6,462.8,3,0.79,CorAlg
4344.45,2.56,480.9,6,0.72,CorAlg
4256.17,2.56,476.5,5,0.67,CorAlg
4118.14,2.48,456.2,10,0.67,CorAlg
3605.43,2.41,3320.8,15,0.41,CorAlg
3496.16,2.34,3721.4,19,0.41,CorAlg
3838.34,2.5,3927.1,9,0.47,CorAlg
4137.31,2.55,3407.6,6,0.49,CorAlg
